date_time,title,link,author,comments_amount,likes_amount
2021-05-12T05:43:59.540Z,Theses On The Current Moment,https://astralcodexten.substack.com/p/theses-on-the-current-moment,Scott Alexander,897,133
2021-05-12T23:23:36.817Z,Welcome To The Terrible World Of Prescription-Only Apps,https://astralcodexten.substack.com/p/welcome-to-the-terrible-world-of,Scott Alexander,244,122
2021-05-14T03:36:17.274Z,Highlights From The Comments On CBT-i Apps,https://astralcodexten.substack.com/p/highlights-from-the-comments-on-cbt,Scott Alexander,80,34
2021-05-14T21:10:28.238Z,Hidden Open Thread 171.5,https://astralcodexten.substack.com/p/hidden-open-thread-1715,Scott Alexander,219,77
2021-05-14T21:25:15.682Z,Your Book Review: Addiction By Design,https://astralcodexten.substack.com/p/your-book-review-addiction-by-design,Scott Alexander,285,107
2021-05-10T20:29:41.811Z,The Rise And Fall Of Online Culture Wars,https://astralcodexten.substack.com/p/the-rise-and-fall-of-online-culture,Scott Alexander,1467,210
2021-05-16T21:40:58.940Z,Open Thread 172,https://astralcodexten.substack.com/p/open-thread-172,Scott Alexander,783,29
2021-05-18T22:25:16.383Z,Highlights From The Comments On Culture Wars,https://astralcodexten.substack.com/p/highlights-from-the-comments-on-culture,Scott Alexander,684,76
2021-05-19T19:51:37.607Z,The Coldness Of Karen,https://astralcodexten.substack.com/p/the-coldness-of-karen,Scott Alexander,241,133
2021-05-24T19:05:10.727Z,Book Review: Arabian Nights,https://astralcodexten.substack.com/p/book-review-arabian-nights,Scott Alexander,334,223
2021-05-20T02:55:16.997Z,Hidden Open Thread 172.5,https://astralcodexten.substack.com/p/hidden-open-thread-1725,Scott Alexander,223,58
2021-05-20T18:35:03.173Z,Links For May,https://astralcodexten.substack.com/p/links-for-may,Scott Alexander,410,52
2021-05-23T18:25:11.677Z,Open Thread 173,https://astralcodexten.substack.com/p/open-thread-173,Scott Alexander,452,14
2021-05-27T00:26:02.274Z,Reflections On Greed Being Made Of Smaller Parts,https://astralcodexten.substack.com/p/reflections-on-greed-being-made-of,Scott Alexander,154,113
2021-05-27T06:29:14.286Z,Open Thread 173.5,https://astralcodexten.substack.com/p/open-thread-1735,Scott Alexander,84,71
2021-05-21T21:40:27.206Z,Your Book Review: The Accidental Superpower,https://astralcodexten.substack.com/p/your-book-review-the-accidental-superpower,Scott Alexander,426,45
2021-05-27T18:43:06.242Z,COVID Suicides: Much More Than You Wanted To Know,https://astralcodexten.substack.com/p/covid-suicides-much-more-than-you,Scott Alexander,270,45
2021-05-28T18:37:45.666Z,Your Book Review: Humankind,https://astralcodexten.substack.com/p/your-book-review-humankind,Scott Alexander,288,55
2021-05-30T16:30:29.273Z,Open Thread 174,https://astralcodexten.substack.com/p/open-thread-174,Scott Alexander,602,24
2021-06-01T01:53:32.225Z,What Do Treatments For Accelerated Aging Tell Us About Normal Aging?,https://astralcodexten.substack.com/p/what-do-treatments-for-accelerated,Scott Alexander,265,55
2021-05-25T21:26:29.847Z,Peer Review Request: Depression,https://astralcodexten.substack.com/p/peer-review-request-depression,Scott Alexander,472,79
2021-06-03T02:47:47.398Z,Open Thread 174.5,https://astralcodexten.substack.com/p/open-thread-1745,Scott Alexander,231,67
2021-06-01T19:08:12.290Z,Moral Costs Of Chicken Vs. Beef,https://astralcodexten.substack.com/p/moral-costs-of-chicken-vs-beef,Scott Alexander,836,83
2021-06-03T02:27:15.137Z,You Have A Terrible Track Record In Guessing My Motives,https://astralcodexten.substack.com/p/you-have-a-terrible-track-record,Scott Alexander,94,105
2021-06-09T00:18:06.335Z,I Will Not Eat The Bugs,https://astralcodexten.substack.com/p/i-will-not-eat-the-bugs,Scott Alexander,715,96
2021-06-03T19:20:19.377Z,Your Book Review: The Collapse Of Complex Societies,https://astralcodexten.substack.com/p/your-book-review-the-collapse-of,Scott Alexander,187,50
2021-06-04T19:39:40.431Z,Your Book Review: Where's My Flying Car?,https://astralcodexten.substack.com/p/your-book-review-wheres-my-flying,Scott Alexander,571,66
2021-06-06T21:46:17.467Z,Open Thread 175,https://astralcodexten.substack.com/p/open-thread-175,Scott Alexander,612,31
2021-06-07T17:32:58.371Z,"Instead Of Pledging To Change The World, Pledge To Change Prediction Markets",https://astralcodexten.substack.com/p/instead-of-pledging-to-change-the,Scott Alexander,205,110
2021-06-09T19:09:32.622Z,Drug Users Use A Lot Of Drugs,https://astralcodexten.substack.com/p/drug-users-use-a-lot-of-drugs,Scott Alexander,228,159
2021-06-11T22:14:25.297Z,Open Thread 175.5,https://astralcodexten.substack.com/p/open-thread-1755,Scott Alexander,211,67
2021-06-11T23:19:21.553Z,Your Book Review: How Children Fail,https://astralcodexten.substack.com/p/your-book-review-how-children-fail,Scott Alexander,308,140
2021-06-13T07:30:02.531Z,Open Thread 176,https://astralcodexten.substack.com/p/open-thread-176,Scott Alexander,485,29
2021-06-14T22:36:56.170Z,Contra Smith On Jewish Selective Immigration,https://astralcodexten.substack.com/p/contra-smith-on-jewish-selective,Scott Alexander,703,183
2021-06-15T14:53:21.540Z,On Cerebralab On Nutt/Carhart-Harris On Serotonin,https://astralcodexten.substack.com/p/on-cerebralab-on-nuttcarhart-harris,Scott Alexander,116,61
2021-06-16T19:19:28.748Z,Open Thread 176.5,https://astralcodexten.substack.com/p/open-thread-1765,Scott Alexander,256,69
2021-06-10T20:11:42.953Z,Your Book Review: Down And Out In Paris And London,https://astralcodexten.substack.com/p/your-book-review-down-and-out-in,Scott Alexander,93,77
2021-06-16T19:30:57.710Z,Peer Review: Lockdown Effectiveness,https://astralcodexten.substack.com/p/peer-review-lockdown-effectiveness,Scott Alexander,411,78
2021-06-17T20:58:34.344Z,Your Book Review: Plagues And Peoples,https://astralcodexten.substack.com/p/your-book-review-plagues-and-peoples,Scott Alexander,298,44
2021-06-25T23:21:32.990Z,ACX Reader Research Survey: Call For Submissions,https://astralcodexten.substack.com/p/acx-reader-research-survey-call-for,Scott Alexander,28,39
2021-06-18T20:12:32.743Z,Vote In The Book Review Contest!,https://astralcodexten.substack.com/p/vote-in-the-book-review-contest,Scott Alexander,131,33
2021-06-21T03:59:29.415Z,Open Thread 177,https://astralcodexten.substack.com/p/open-thread-177,Scott Alexander,412,15
2021-06-22T01:19:56.145Z,Mantic Monday 6/21/21,https://astralcodexten.substack.com/p/mantic-monday-62121,Scott Alexander,172,51
2021-06-23T04:30:12.011Z,Links For June,https://astralcodexten.substack.com/p/links-for-june,Scott Alexander,722,56
2021-06-24T19:23:06.400Z,Perpendicular Lives,https://astralcodexten.substack.com/p/perpendicular-lives,Scott Alexander,63,105
2021-06-25T23:24:15.970Z,Open Thread 177.5,https://astralcodexten.substack.com/p/open-thread-1775,Scott Alexander,190,71
2021-06-28T03:41:04.456Z,Open Thread 178,https://astralcodexten.substack.com/p/open-thread-178,Scott Alexander,487,19
2021-07-01T03:07:24.779Z,Welcome Polygenically Screened Babies,https://astralcodexten.substack.com/p/welcome-polygenically-screened-babies,Scott Alexander,278,95
2021-07-01T21:03:26.954Z,"Highlights From The Comments On ""How Asia Works""",https://astralcodexten.substack.com/p/highlights-from-the-comments-on-how,Scott Alexander,145,59
2021-07-02T07:24:21.160Z,Open Thread 178.5,https://astralcodexten.substack.com/p/open-thread-1785,Scott Alexander,314,67
2021-07-04T23:53:18.567Z,Open Thread 179,https://astralcodexten.substack.com/p/open-thread-179,Scott Alexander,455,26
2021-07-05T20:39:48.625Z,Model City Monday,https://astralcodexten.substack.com/p/model-city-monday,Scott Alexander,216,75
